"","Order","Entry","PLOT","Full_sample","Location","Sample_ID","replication","Day1Germ","Day2Germ","Day3Germ","Day4Germ","Day5Germ","kernels_remaining","UserDay1","UserDay2","UserDay3","UserDay4","UserDay5","notes"
"18",18,"BS613-10","11015","Full","Snyder",9,1,4,25,0,0,0,1,"TR","TR","TR","TR","TR",NA
"19",19,"BS613-11","11016","Full","Snyder",10,2,7,20,2,1,0,0,"KK","KK","KK","KK","KK",NA
"20",20,"BS613-11","11016","Full","Snyder",10,1,8,19,2,0,0,1,"TR","TR","TR","TR","TR",NA
"21",21,"BS613-12","11017","Full","Snyder",11,2,7,18,2,3,0,0,"KK","KK","KK","KK","KK",NA
"22",22,"BS613-12","11017","Full","Snyder",11,1,6,21,2,1,0,0,"TR","TR","TR","TR","TR",NA
"23",23,"BS613-13","11018","Full","Snyder",12,2,14,16,0,0,0,0,"KK","KK","KK","KK","KK",NA
"24",24,"BS613-13","11018","Full","Snyder",12,1,10,20,0,0,0,0,"TR","TR","TR","TR","TR",NA
"25",25,"BS613-14","11019","Half","Snyder",13,2,10,18,2,0,0,0,"KK","KK","KK","KK","KK",NA
"26",26,"BS613-14","11019","Half","Snyder",13,1,10,16,4,0,0,0,"TR","TR","TR","TR","TR",NA
"27",27,"BS613-15","11020","Full","Snyder",14,2,9,19,2,0,0,0,"KK","KK","KK","KK","KK",NA
"28",28,"BS613-15","11020","Full","Snyder",14,1,7,21,1,0,0,1,"TR","TR","TR","TR","TR",NA
"29",29,"BS613-16","11021","Full","Snyder",15,2,13,17,0,0,0,0,"KK","KK","KK","KK","KK",NA
"30",30,"BS613-16","11021","Full","Snyder",15,1,15,14,0,0,0,1,"TR","TR","TR","TR","TR",NA
"31",31,"BS613-20","11025","Half","Snyder",16,2,2,27,0,0,0,1,"KK","KK","KK","KK","KK",NA
"32",32,"BS613-20","11025","Half","Snyder",16,1,3,27,0,0,0,0,"TR","TR","TR","TR","TR",NA
"33",33,"BS613-21","11026","Full","Snyder",17,2,9,20,1,0,0,0,"KK","KK","KK","KK","KK",NA
"34",34,"BS613-21","11026","Full","Snyder",17,1,11,19,0,0,0,0,"TR","TR","TR","TR","TR",NA
"35",35,"BS614-23","11028","Full","Snyder",18,2,12,14,4,0,0,0,"KK","KK","KK","KK","KK",NA
"36",36,"BS614-23","11028","Full","Snyder",18,1,19,10,1,0,0,0,"TR","TR","TR","TR","TR",NA
"37",37,"BS614-24","11029","Half","Snyder",19,2,8,20,2,0,0,0,"KK","KK","KK","KK","KK",NA
"38",38,"BS614-24","11029","Half","Snyder",19,1,9,16,3,0,0,2,"TR","TR","TR","TR","TR",NA
"39",39,"BS614-26","11031","Full","Snyder",20,2,8,22,0,0,0,0,"KK","KK","KK","KK","KK",NA
"40",40,"BS614-26","11031","Full","Snyder",20,1,5,23,2,0,0,0,"TR","TR","TR","TR","TR",NA
"41",41,"BS614-27","11032","Half","Snyder",21,2,8,19,1,1,1,1,"KK","KK","KK","KK","KK",NA
"42",42,"BS614-27","11032","Half","Snyder",21,1,7,17,6,0,0,0,"TR","TR","TR","TR","TR",NA
"43",43,"BS614-29","11034","Full","Snyder",22,2,9,20,1,0,0,0,"KK","KK","KK","KK","KK",NA
"44",44,"BS614-29","11034","Full","Snyder",22,1,3,25,2,0,0,0,"TR","TR","TR","TR","TR",NA
"45",45,"BS614-30","11035","Half","Snyder",23,2,9,15,6,0,1,0,"KK","KK","KK","KK","KK",NA
"46",46,"BS614-30","11035","Half","Snyder",23,1,10,16,3,1,0,0,"TR","TR","TR","TR","TR",NA
"47",47,"BS614-31","11036","Full","Snyder",24,2,15,15,0,0,0,0,"KK","KK","KK","KK","KK",NA
"48",48,"BS614-31","11036","Full","Snyder",24,1,11,16,3,0,0,0,"TR","TR","TR","TR","TR",NA
"49",49,"BS614-32","11037","Full","Snyder",25,2,10,17,3,0,0,0,"KK","KK","KK","KK","KK",NA
"50",50,"BS614-32","11037","Full","Snyder",25,1,4,26,0,0,0,0,"TR","TR","TR","TR","TR",NA
"51",51,"BS614-33","11038","Half","Snyder",26,2,6,22,1,1,0,0,"KK","KK","KK","KK","KK",NA
"52",52,"BS614-33","11038","Half","Snyder",26,1,9,19,2,0,0,0,"TR","TR","TR","TR","TR",NA
"53",53,"BS614-34","11039","Full","Snyder",27,2,12,18,0,0,0,0,"KK","KK","KK","KK","KK",NA
"54",54,"BS614-34","11039","Full","Snyder",27,1,11,17,2,0,0,0,"TR","TR","TR","TR","TR",NA
"55",55,"BS614-36","11041","Full","Snyder",28,2,5,21,2,1,1,0,"KK","KK","KK","KK","KK",NA
"56",56,"BS614-36","11041","Full","Snyder",28,1,4,24,1,1,0,0,"TR","TR","TR","TR","TR",NA
"57",57,"BS614-37","11042","Full","Snyder",29,2,7,22,1,0,0,0,"KK","KK","KK","KK","KK",NA
"58",58,"BS614-37","11042","Full","Snyder",29,1,5,21,4,0,0,0,"TR","TR","TR","TR","TR",NA
"59",59,"BS614-38","11043","Full","Snyder",30,2,7,21,1,0,0,1,"KK","KK","KK","KK","KK",NA
"60",60,"BS614-38","11043","Full","Snyder",30,1,4,23,3,0,0,0,"TR","TR","TR","TR","TR",NA
"61",61,"BS614-39","11044","Full","Snyder",31,2,9,16,2,2,1,0,"KK","KK","KK","KK","KK",NA
"62",62,"BS614-39","11044","Full","Snyder",31,1,8,22,0,0,0,0,"TR","TR","TR","TR","TR",NA
"63",63,"BS614-40","11045","Full","Snyder",32,2,6,21,2,1,0,0,"KK","KK","KK","KK","KK",NA
"64",64,"BS614-40","11045","Full","Snyder",32,1,2,23,4,1,0,0,"TR","TR","TR","TR","TR",NA
"65",65,"BS615-41","11046","Full","Snyder",33,2,10,18,2,0,0,0,"KK","KK","KK","KK","KK",NA
"66",66,"BS615-41","11046","Full","Snyder",33,1,5,19,6,0,0,0,"TR","TR","TR","TR","TR",NA
"67",67,"BS615-42","11047","Full","Snyder",34,2,6,21,3,0,0,0,"KK","KK","KK","KK","KK",NA
"68",68,"BS615-42","11047","Full","Snyder",34,1,6,23,1,0,0,0,"TR","TR","TR","TR","TR",NA
"69",69,"BS615-43","11048","Half","Snyder",35,2,11,17,0,0,1,1,"KK","KK","KK","KK","KK",NA
"70",70,"BS615-43","11048","Half","Snyder",35,1,14,14,1,0,0,1,"TR","TR","TR","TR","TR",NA
"71",71,"BS615-44","11049","Half","Snyder",36,2,10,16,4,0,0,0,"KK","KK","KK","KK","KK",NA
"72",72,"BS615-44","11049","Half","Snyder",36,1,6,21,3,0,0,0,"TR","TR","TR","TR","TR",NA
"73",73,"Charles","11050","Full","Snyder",37,2,20,10,0,0,0,0,"KK","KK","KK","KK","KK",NA
"74",74,"Charles","11050","Full","Snyder",37,1,20,10,0,0,0,0,"TR","TR","TR","TR","TR",NA
"75",75,"BS615-45","11052","Half","Snyder",38,2,4,15,7,3,1,0,"KK","KK","KK","KK","KK",NA
"76",76,"BS615-45","11052","Half","Snyder",38,1,3,20,4,2,1,0,"TR","TR","TR","TR","TR",NA
"77",77,"BS615-46","11053","Full","Snyder",39,2,7,21,2,0,0,0,"KK","KK","KK","KK","KK",NA
"78",78,"BS615-46","11053","Full","Snyder",39,1,10,20,0,0,0,0,"TR","TR","TR","TR","TR",NA
"79",79,"BS615-48","11055","Full","Snyder",40,2,15,13,2,0,0,0,"KK","KK","KK","KK","KK",NA
"80",80,"BS615-48","11055","Full","Snyder",40,1,11,17,2,0,0,0,"TR","TR","TR","TR","TR",NA
"81",81,"BS615-49","11056","Full","Snyder",41,2,9,15,4,0,0,2,"KK","KK","KK","KK","KK",NA
"82",82,"BS615-49","11056","Full","Snyder",41,1,8,22,0,0,0,0,"TR","TR","TR","TR","TR",NA
"83",83,"BS615-50","11057","Half","Snyder",42,2,6,24,0,0,0,0,"KK","KK","KK","KK","KK",NA
"84",84,"BS615-50","11057","Half","Snyder",42,1,4,24,1,1,0,0,"TR","TR","TR","TR","TR",NA
"85",85,"BS615-51","11058","Full","Snyder",43,2,7,21,2,0,0,0,"KK","KK","KK","KK","KK",NA
"86",86,"BS615-51","11058","Full","Snyder",43,1,4,26,0,0,0,0,"TR","TR","TR","TR","TR",NA
"87",87,"BS615-52","11059","Half","Snyder",44,2,6,24,0,0,0,0,"KK","KK","KK","KK","KK",NA
"88",88,"BS615-52","11059","Half","Snyder",44,1,8,22,0,0,0,0,"TR","TR","TR","TR","TR",NA
"89",89,"BS615-53","11060","Full","Snyder",45,2,8,20,2,0,0,0,"KK","KK","KK","KK","KK",NA
"90",90,"BS615-53","11060","Full","Snyder",45,1,9,19,2,0,0,0,"TR","TR","TR","TR","TR",NA
"91",91,"BS615-54","11061","Half","Snyder",46,2,8,22,0,0,0,0,"KK","KK","KK","KK","KK",NA
"92",92,"BS615-54","11061","Half","Snyder",46,1,5,25,0,0,0,0,"TR","TR","TR","TR","TR",NA
"93",93,"BS615-55","11062","Full","Snyder",47,2,10,18,2,0,0,0,"KK","KK","KK","KK","KK",NA
"94",94,"BS615-55","11062","Full","Snyder",47,1,7,20,3,0,0,0,"TR","TR","TR","TR","TR",NA
"95",95,"BS615-56","11063","Half","Snyder",48,2,7,23,0,0,0,0,"KK","KK","KK","KK","KK",NA
"96",96,"BS615-56","11063","Half","Snyder",48,1,10,15,4,0,1,0,"TR","TR","TR","TR","TR",NA
"97",97,"BS615-57","11064","Half","Snyder",49,2,10,19,1,0,0,0,"KK","KK","KK","KK","KK",NA
"98",98,"BS615-57","11064","Half","Snyder",49,1,9,21,0,0,0,0,"TR","TR","TR","TR","TR",NA
"99",99,"BS616-58","11065","Full","Snyder",50,2,8,21,0,0,0,1,"KK","KK","KK","KK","KK",NA
"100",100,"BS616-58","11065","Full","Snyder",50,1,9,20,0,0,0,1,"TR","TR","TR","TR","TR",NA
"101",101,"BS616-59","11066","Half","Snyder",51,2,5,21,4,0,0,0,"KK","KK","KK","KK","KK",NA
"102",102,"BS616-59","11066","Half","Snyder",51,1,7,22,1,0,0,0,"TR","TR","TR","TR","TR",NA
"103",103,"BS616-60","11067","Half","Snyder",52,2,5,21,4,0,0,0,"KK","KK","KK","KK","KK",NA
"104",104,"BS616-60","11067","Half","Snyder",52,1,2,28,0,0,0,0,"TR","TR","TR","TR","TR",NA
"105",105,"BS616-61","11068","Half","Snyder",53,2,3,23,4,0,0,0,"KK","KK","KK","KK","KK",NA
"106",106,"BS616-61","11068","Half","Snyder",53,1,1,27,2,0,0,0,"TR","TR","TR","TR","TR",NA
"107",107,"BS616-62","11069","Full","Snyder",54,2,4,25,1,0,0,0,"KK","KK","KK","KK","KK",NA
"108",108,"BS616-62","11069","Full","Snyder",54,1,4,25,0,0,0,1,"TR","TR","TR","TR","TR",NA
"109",109,"BS616-63","11070","Half","Snyder",55,2,15,14,2,0,0,0,"KK","KK","KK","KK","KK",NA
"110",110,"BS616-63","11070","Half","Snyder",55,1,12,16,2,0,0,0,"TR","TR","TR","TR","TR",NA
"111",111,"BS616-64","11071","Full","Snyder",56,2,12,17,1,0,0,0,"KK","KK","KK","KK","KK",NA
"112",112,"BS616-64","11071","Full","Snyder",56,1,12,14,4,0,0,0,"TR","TR","TR","TR","TR",NA
"113",113,"BS616-66","11073","Full","Snyder",57,2,2,27,1,0,0,0,"KK","KK","KK","KK","KK",NA
"114",114,"BS616-66","11073","Full","Snyder",57,1,1,29,0,0,0,0,"TR","TR","TR","TR","TR",NA
"115",115,"BS616-67","11074","Half","Snyder",58,2,7,23,0,0,0,0,"KK","KK","KK","KK","KK",NA
"116",116,"BS616-67","11074","Half","Snyder",58,1,4,26,0,0,0,0,"TR","TR","TR","TR","TR",NA
"117",117,"BS616-68","11075","Full","Snyder",59,2,5,23,1,1,0,0,"KK","KK","KK","KK","KK",NA
"118",118,"BS616-68","11075","Full","Snyder",59,1,3,24,4,1,0,0,"TR","TR","TR","TR","TR",NA
"119",119,"BS616-69","11076","Full","Snyder",60,2,8,21,1,0,0,0,"KK","KK","KK","KK","KK",NA
"120",120,"BS616-69","11076","Full","Snyder",60,1,9,21,0,0,0,0,"TR","TR","TR","TR","TR",NA
"121",121,"BS616-70","11077","Half","Snyder",61,2,2,27,1,0,0,0,"KK","KK","KK","KK","KK",NA
"122",122,"BS616-70","11077","Half","Snyder",61,1,1,27,1,1,0,0,"TR","TR","TR","TR","TR",NA
"123",123,"BS616-71","11078","Full","Snyder",62,2,8,19,2,0,0,0,"KK","KK","KK","KK","KK",NA
"124",124,"BS616-71","11078","Full","Snyder",62,1,2,25,3,0,0,0,"TR","TR","TR","TR","TR",NA
"125",125,"BS616-72","11079","Half","Snyder",63,2,5,22,3,0,0,0,"KK","KK","KK","KK","KK",NA
"126",126,"BS616-72","11079","Half","Snyder",63,1,7,21,1,1,0,0,"TR","TR","TR","TR","TR",NA
"127",127,"BS616-73","11080","Half","Snyder",64,2,7,19,4,0,0,0,"KK","KK","KK","KK","KK",NA
"128",128,"BS616-73","11080","Half","Snyder",64,1,3,25,2,0,0,0,"TR","TR","TR","TR","TR",NA
"129",129,"BS616-74","11081","Full","Snyder",65,2,4,25,1,0,0,1,"KK","KK","KK","KK","KK",NA
"130",130,"BS616-74","11081","Full","Snyder",65,1,4,26,0,0,0,0,"TR","TR","TR","TR","TR",NA
"131",131,"BS616-75","11082","Full","Snyder",66,2,3,23,4,0,0,0,"KK","KK","KK","KK","KK",NA
"132",132,"BS616-75","11082","Full","Snyder",66,1,4,21,5,0,0,0,"TR","TR","TR","TR","TR",NA
"133",133,"BS616-78","11085","Half","Snyder",67,2,6,23,1,0,0,0,"KK","KK","KK","KK","KK",NA
"134",134,"BS616-78","11085","Half","Snyder",67,1,9,21,0,0,0,0,"TR","TR","TR","TR","TR",NA
"135",135,"BS616-79","11086","Full","Snyder",68,2,12,15,3,0,0,0,"KK","KK","KK","KK","KK",NA
"136",136,"BS616-79","11086","Full","Snyder",68,1,10,17,2,0,0,1,"TR","TR","TR","TR","TR",NA
"137",137,"BS710-2","11088","Full","Snyder",69,2,14,14,2,0,0,0,"KK","KK","KK","KK","KK",NA
"138",138,"BS710-2","11088","Full","Snyder",69,1,11,19,0,0,0,0,"TR","TR","TR","TR","TR",NA
"139",139,"BS710-7","11093","Full","Snyder",70,2,17,13,0,0,0,0,"KK","KK","KK","KK","KK",NA
"140",140,"BS710-7","11093","Full","Snyder",70,1,13,17,0,0,0,0,"TR","TR","TR","TR","TR",NA
"141",141,"BS710-8","11094","Full","Snyder",71,2,10,18,2,0,0,0,"KK","KK","KK","KK","KK",NA
"142",142,"BS710-8","11094","Full","Snyder",71,1,13,16,0,0,0,1,"TR","TR","TR","TR","TR",NA
"143",143,"BS710-9","11095","Full","Snyder",72,2,7,23,0,0,0,0,"KK","KK","KK","KK","KK",NA
"144",144,"BS710-9","11095","Full","Snyder",72,1,9,20,1,0,0,0,"TR","TR","TR","TR","TR",NA
"145",145,"BS710-12","11098","Half","Snyder",73,2,13,13,4,0,0,0,"KK","KK","KK","KK","KK",NA
"146",146,"BS710-12","11098","Half","Snyder",73,1,15,15,0,0,0,0,"TR","TR","TR","TR","TR",NA
"147",147,"Flavia","11100","Full","Snyder",74,2,12,17,1,0,0,0,"KK","KK","KK","KK","KK",NA
"148",148,"Flavia","11100","Full","Snyder",74,1,10,20,0,0,0,0,"TR","TR","TR","TR","TR",NA
"149",149,"BS710-21","11112","Full","Snyder",75,2,7,15,8,0,0,0,"KK","KK","KK","KK","KK",NA
"150",150,"BS710-21","11112","Full","Snyder",75,1,4,18,7,0,0,1,"TR","TR","TR","TR","TR",NA
"151",151,"BS710-23","11114","Full","Snyder",76,2,1,21,8,0,0,0,"KK","KK","KK","KK","KK",NA
"152",152,"BS710-23","11114","Full","Snyder",76,1,9,16,5,0,0,0,"TR","TR","TR","TR","TR",NA
"153",153,"BS710-27","11118","Full","Snyder",77,2,7,16,6,0,0,0,"KK","KK","KK","KK","KK",NA
"154",154,"BS710-27","11118","Full","Snyder",77,1,4,14,12,0,0,0,"TR","TR","TR","TR","TR",NA
"155",155,"BS710-29","11120","Half","Snyder",78,2,4,17,8,0,0,0,"KK","KK","KK","KK","KK",NA
"156",156,"BS710-29","11120","Half","Snyder",78,1,5,14,11,0,0,0,"TR","TR","TR","TR","TR",NA
"157",157,"BS710-30","11121","Full","Snyder",79,2,11,19,0,0,0,0,"KK","KK","KK","KK","KK",NA
"158",158,"BS710-30","11121","Full","Snyder",79,1,10,20,0,0,0,0,"TR","TR","TR","TR","TR",NA
"159",159,"BS710-31","11122","Half","Snyder",80,2,9,18,3,0,0,0,"KK","KK","KK","KK","KK",NA
"160",160,"BS710-31","11122","Half","Snyder",80,1,5,20,5,0,0,0,"TR","TR","TR","TR","TR",NA
"161",161,"BS710-32","11123","Half","Snyder",81,2,5,15,7,1,0,0,"KK","KK","KK","KK","KK",NA
"162",162,"BS710-32","11123","Half","Snyder",81,1,7,13,7,1,1,1,"TR","TR","TR","TR","TR",NA
"163",163,"BS710-33","11124","Full","Snyder",82,2,11,17,2,0,0,0,"KK","KK","KK","KK","KK",NA
"164",164,"BS710-33","11124","Full","Snyder",82,1,8,21,0,0,0,0,"TR","TR","TR","TR","TR",NA
"165",165,"BS710-35","11126","Half","Snyder",83,2,13,17,0,0,0,0,"KK","KK","KK","KK","KK",NA
"166",166,"BS710-35","11126","Half","Snyder",83,1,13,17,0,0,0,0,"TR","TR","TR","TR","TR",NA
"167",167,"BS710-36","11127","Half","Snyder",84,2,14,15,0,1,0,0,"KK","KK","KK","KK","KK",NA
"168",168,"BS710-36","11127","Half","Snyder",84,1,13,16,1,0,0,0,"TR","TR","TR","TR","TR",NA
"169",169,"BS710-39","11130","Half","Snyder",85,2,18,11,1,0,0,0,"KK","KK","KK","KK","KK",NA
"170",170,"BS710-39","11130","Half","Snyder",85,1,13,15,2,0,0,0,"TR","TR","TR","TR","TR",NA
"171",171,"BS710-41","11132","Full","Snyder",86,2,3,15,12,1,0,0,"KK","KK","KK","KK","KK",NA
"172",172,"BS710-41","11132","Full","Snyder",86,1,4,17,8,1,0,0,"TR","TR","TR","TR","TR",NA
"173",173,"BS710-42","11133","Half","Snyder",87,2,11,19,0,0,0,0,"KK","KK","KK","KK","KK",NA
"174",174,"BS710-42","11133","Half","Snyder",87,1,12,18,0,0,0,0,"TR","TR","TR","TR","TR",NA
"175",175,"BS710-44","11135","Half","Snyder",88,2,14,13,3,0,0,1,"KK","KK","KK","KK","KK",NA
"176",176,"BS710-44","11135","Half","Snyder",88,1,11,15,4,0,0,0,"TR","TR","TR","TR","TR",NA
"177",177,"BS710-45","11136","Half","Snyder",89,2,8,18,2,0,0,2,"KK","KK","KK","KK","KK",NA
"178",178,"BS710-45","11136","Half","Snyder",89,1,7,23,0,0,0,0,"TR","TR","TR","TR","TR",NA
"179",179,"BS710-46","11137","Full","Snyder",90,2,12,16,2,0,0,0,"KK","KK","KK","KK","KK",NA
"180",180,"BS710-46","11137","Full","Snyder",90,1,8,21,1,0,0,0,"TR","TR","TR","TR","TR",NA
"181",181,"BS710-47","11138","Half","Snyder",91,2,4,25,0,0,0,1,"KK","KK","KK","KK","KK",NA
"182",182,"BS710-47","11138","Half","Snyder",91,1,7,23,0,0,0,0,"TR","TR","TR","TR","TR",NA
"183",183,"BS710-48","11139","Full","Snyder",92,2,8,17,6,0,0,0,"KK","KK","KK","KK","KK",NA
"184",184,"BS710-48","11139","Full","Snyder",92,1,5,21,4,0,0,0,"TR","TR","TR","TR","TR",NA
"185",185,"BS710-49","11140","Half","Snyder",93,2,8,21,1,0,0,0,"KK","KK","KK","KK","KK",NA
"186",186,"BS710-49","11140","Half","Snyder",93,1,9,19,2,0,0,0,"TR","TR","TR","TR","TR",NA
"187",187,"BS710-50","11141","Full","Snyder",94,2,11,19,0,0,0,0,"KK","KK","KK","KK","KK",NA
"188",188,"BS710-50","11141","Full","Snyder",94,1,15,15,0,0,0,0,"TR","TR","TR","TR","TR",NA
"189",189,"BS710-51","11142","Half","Snyder",95,2,8,13,8,1,0,0,"KK","KK","KK","KK","KK",NA
"190",190,"BS710-51","11142","Half","Snyder",95,1,8,15,7,0,0,0,"TR","TR","TR","TR","TR",NA
"191",191,"BS710-53","11144","Half","Snyder",96,2,14,6,0,0,0,0,"KK","KK","KK","KK","KK",NA
"192",192,"BS710-53","11144","Half","Snyder",96,1,17,11,2,0,0,0,"TR","TR","TR","TR","TR",NA
"193",193,"BS710-55","11146","Half","Snyder",97,2,10,17,3,0,0,0,"KK","KK","KK","KK","KK",NA
"194",194,"BS710-55","11146","Half","Snyder",97,1,7,17,5,0,0,1,"TR","TR","TR","TR","TR",NA
"195",195,"BS710-56","11147","Half","Snyder",98,2,11,19,0,0,0,0,"KK","KK","KK","KK","KK",NA
"196",196,"BS710-56","11147","Half","Snyder",98,1,9,21,0,0,0,0,"TR","TR","TR","TR","TR",NA
"197",197,"BS710-57","11148","Full","Snyder",99,2,15,15,0,0,0,0,"KK","KK","KK","KK","KK",NA
"198",198,"BS710-57","11148","Full","Snyder",99,1,11,19,0,0,0,0,"TR","TR","TR","TR","TR",NA
"199",199,"BS710-58","11149","Full","Snyder",100,2,6,19,6,0,0,0,"KK","KK","KK","KK","KK",NA
"200",200,"BS710-58","11149","Full","Snyder",100,1,8,20,1,1,0,0,"TR","TR","TR","TR","TR",NA
"201",201,"Charles","11150","Full","Snyder",101,2,10,20,0,0,0,0,"KK","KK","KK","KK","KK",NA
"202",202,"Charles","11150","Full","Snyder",101,1,23,5,1,0,0,1,"TR","TR","TR","TR","TR",NA
"203",203,"BS710-60","11153","Half","Snyder",102,2,13,10,5,1,1,0,"KK","KK","KK","KK","KK",NA
"204",204,"BS710-60","11153","Half","Snyder",102,1,12,13,4,0,0,1,"TR","TR","TR","TR","TR",NA
"205",205,"BS710-61","11154","Half","Snyder",103,2,11,17,2,0,0,0,"KK","KK","KK","KK","KK",NA
"206",206,"BS710-61","11154","Half","Snyder",103,1,12,18,0,0,0,0,"TR","TR","TR","TR","TR",NA
"207",207,"BS710-62","11155","Half","Snyder",104,2,8,22,0,0,0,0,"KK","KK","KK","KK","KK",NA
"208",208,"BS710-62","11155","Half","Snyder",104,1,2,26,2,0,0,0,"TR","TR","TR","TR","TR",NA
"209",209,"BS710-63","11156","Half","Snyder",105,2,9,20,1,0,0,0,"KK","KK","KK","KK","KK",NA
"210",210,"BS710-63","11156","Half","Snyder",105,1,4,26,0,0,0,0,"TR","TR","TR","TR","TR",NA
"211",211,"BS710-64","11157","Full","Snyder",106,2,6,17,6,2,0,0,"KK","KK","KK","KK","KK",NA
"212",212,"BS710-64","11157","Full","Snyder",106,1,3,16,9,1,0,1,"TR","TR","TR","TR","TR",NA
"213",213,"BS710-66","11159","Full","Snyder",107,2,6,13,7,2,1,1,"KK","KK","KK","KK","KK",NA
"214",214,"BS710-66","11159","Full","Snyder",107,1,7,12,8,3,0,0,"TR","TR","TR","TR","TR",NA
"215",215,"BS710-67","11160","Half","Snyder",108,2,8,17,5,0,0,0,"KK","KK","KK","KK","KK",NA
"216",216,"BS710-67","11160","Half","Snyder",108,1,5,19,6,0,0,0,"TR","TR","TR","TR","TR",NA
"217",217,"BS712-68","11161","Full","Snyder",109,2,14,16,0,0,0,0,"KK","KK","KK","KK","KK",NA
"218",218,"BS712-68","11161","Full","Snyder",109,1,13,15,1,1,0,0,"TR","TR","TR","TR","TR",NA
"219",219,"BS712-69","11162","Full","Snyder",110,2,8,19,3,0,0,0,"KK","KK","KK","KK","KK",NA
"220",220,"BS712-69","11162","Full","Snyder",110,1,11,16,3,0,0,0,"TR","TR","TR","TR","TR",NA
"221",221,"BS712-70","11163","Full","Snyder",111,2,5,15,9,1,0,0,"KK","KK","KK","KK","KK",NA
"222",222,"BS712-70","11163","Full","Snyder",111,1,4,19,7,0,0,0,"TR","TR","TR","TR","TR",NA
"223",223,"BS712-71","11164","Half","Snyder",112,2,10,20,0,0,0,0,"KK","KK","KK","KK","KK",NA
"224",224,"BS712-71","11164","Half","Snyder",112,1,8,20,2,0,0,0,"TR","TR","TR","TR","TR",NA
"225",225,"BS712-73","11166","Half","Snyder",113,2,15,15,0,0,0,0,"KK","KK","KK","KK","KK",NA
"226",226,"BS712-73","11166","Half","Snyder",113,1,7,23,0,0,0,0,"TR","TR","TR","TR","TR",NA
"227",227,"BS712-74","11167","Full","Snyder",114,2,10,17,3,0,0,0,"KK","KK","KK","KK","KK",NA
"228",228,"BS712-74","11167","Full","Snyder",114,1,9,18,1,0,0,2,"TR","TR","TR","TR","TR",NA
"229",229,"BS713-75","11168","Full","Snyder",115,2,4,18,6,1,0,0,"KK","KK","KK","KK","KK",NA
"230",230,"BS713-75","11168","Full","Snyder",115,1,1,26,3,0,0,0,"TR","TR","TR","TR","TR",NA
"231",231,"BS713-78","11171","Full","Snyder",116,2,12,17,1,0,0,0,"KK","KK","KK","KK","KK",NA
"232",232,"BS713-78","11171","Full","Snyder",116,1,10,20,0,0,0,0,"TR","TR","TR","TR","TR",NA
"233",233,"BS713-79","11172","Half","Snyder",117,2,3,18,7,1,1,0,"KK","KK","KK","KK","KK",NA
"234",234,"BS713-79","11172","Half","Snyder",117,1,7,16,6,0,0,1,"TR","TR","TR","TR","TR",NA
"235",235,"BS713-80","11173","Half","Snyder",118,2,9,21,0,0,0,0,"KK","KK","KK","KK","KK",NA
"236",236,"BS713-80","11173","Half","Snyder",118,1,9,21,0,0,0,0,"TR","TR","TR","TR","TR",NA
"237",237,"BS713-81","11174","Half","Snyder",119,2,7,13,5,4,1,0,"KK","KK","KK","KK","KK",NA
