,Entry,PLOT,Full_sample,Check,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,kernels_remaining,Mold_kern,Cooler,note,UserDay1,UserDay2,UserDay3,UserDay4,UserDay5,Year,Location,Timepoint,PM_at_plating,Experiment
22,BS613-12,11017,Full,B,11,2,3,20,7,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
23,BS613-13,11018,Full,B,12,1,10,19,0,0,1,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
24,BS613-13,11018,Full,B,12,2,7,21,1,0,0,1,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
25,BS613-14,11019,Half,B,13,1,6,21,2,0,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
26,BS613-14,11019,Half,B,13,2,6,22,2,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
27,BS613-15,11020,Full,B,14,1,10,13,7,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
28,BS613-15,11020,Full,B,14,2,4,23,4,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
29,BS613-16,11021,Full,B,15,1,15,14,0,0,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
30,BS613-16,11021,Full,B,15,2,17,13,0,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
31,BS613-20,11025,Half,B,16,1,NA,NA,NA,NA,NA,NA,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
32,BS613-20,11025,Half,B,16,2,NA,NA,NA,NA,NA,NA,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
33,BS613-21,11026,Full,B,17,1,4,25,0,0,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
34,BS613-21,11026,Full,B,17,2,5,23,2,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
35,BS614-23,11028,Full,B,18,1,10,17,2,0,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
36,BS614-23,11028,Full,B,18,2,19,11,0,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
37,BS614-24,11029,Half,B,19,1,1,24,1,2,1,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
38,BS614-24,11029,Half,B,19,2,6,19,3,1,1,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
39,BS614-26,11031,Full,B,20,1,1,18,8,3,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
40,BS614-26,11031,Full,B,20,2,2,23,4,1,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
41,BS614-27,11032,Half,B,21,1,4,20,6,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
42,BS614-27,11032,Half,B,21,2,3,21,6,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
43,BS614-29,11034,Full,B,22,1,4,18,5,1,1,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
44,BS614-29,11034,Full,B,22,2,4,21,4,0,1,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
45,BS614-30,11035,Half,B,23,1,11,16,2,0,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
46,BS614-30,11035,Half,B,23,2,7,17,4,1,1,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
47,BS614-31,11036,Full,B,24,1,7,20,1,0,1,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
48,BS614-31,11036,Full,B,24,2,16,14,0,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
49,BS614-32,11037,Full,B,25,1,5,17,6,0,0,2,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
50,BS614-32,11037,Full,B,25,2,3,22,5,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
51,BS614-33,11038,Half,B,26,1,10,17,3,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
52,BS614-33,11038,Half,B,26,2,5,22,1,1,0,1,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
53,BS614-34,11039,Full,B,27,1,5,20,2,1,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
54,BS614-34,11039,Full,B,27,2,6,20,3,0,0,1,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
55,BS614-36,11041,Full,B,28,1,0,24,1,4,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
56,BS614-36,11041,Full,B,28,2,7,14,5,1,3,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
57,BS614-37,11042,Full,B,29,1,6,19,4,0,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
58,BS614-37,11042,Full,B,29,2,8,20,2,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
59,BS614-38,11043,Full,B,30,1,5,19,6,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
60,BS614-38,11043,Full,B,30,2,3,20,6,1,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
61,BS614-39,11044,Full,B,31,1,5,22,3,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
62,BS614-39,11044,Full,B,31,2,5,23,1,1,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
63,BS614-40,11045,Full,B,32,1,6,22,0,1,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
64,BS614-40,11045,Full,B,32,2,2,23,4,1,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
65,BS615-41,11046,Full,B,33,1,8,17,3,0,1,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
66,BS615-41,11046,Full,B,33,2,6,23,1,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
67,BS615-42,11047,Full,B,34,1,7,22,1,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
68,BS615-42,11047,Full,B,34,2,2,25,3,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
69,BS615-43,11048,Half,B,35,1,9,18,3,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
70,BS615-43,11048,Half,B,35,2,9,17,4,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
71,BS615-44,11049,Half,B,36,1,3,18,7,0,0,2,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
72,BS615-44,11049,Half,B,36,2,2,24,4,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
73,Check 6-Charles,11050,Full,C,37,1,17,13,0,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
74,Check 6-Charles,11050,Full,C,37,2,23,7,0,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
75,BS615-45,11052,Half,B,38,1,1,15,9,2,0,3,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
76,BS615-45,11052,Half,B,38,2,0,21,3,4,1,1,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
77,BS615-46,11053,Full,B,39,1,6,22,2,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
78,BS615-46,11053,Full,B,39,2,6,23,1,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
79,BS615-48,11055,Full,B,40,1,10,20,0,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
80,BS615-48,11055,Full,B,40,2,10,18,2,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
81,BS615-49,11056,Full,B,41,1,7,21,2,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
82,BS615-49,11056,Full,B,41,2,5,22,3,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
83,BS615-50,11057,Half,B,42,1,2,25,2,1,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
84,BS615-50,11057,Half,B,42,2,3,24,2,0,0,1,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
85,BS615-51,11058,Full,B,43,1,0,26,2,1,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
86,BS615-51,11058,Full,B,43,2,5,25,0,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
87,BS615-52,11059,Half,B,44,1,6,24,0,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
88,BS615-52,11059,Half,B,44,2,6,23,0,0,0,1,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
89,BS615-53,11060,Full,B,45,1,7,21,2,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
90,BS615-53,11060,Full,B,45,2,5,26,2,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
91,BS615-54,11061,Half,B,46,1,12,18,0,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
92,BS615-54,11061,Half,B,46,2,5,25,0,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
93,BS615-55,11062,Full,B,47,1,8,20,1,0,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
94,BS615-55,11062,Full,B,47,2,12,17,1,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
95,BS615-56,11063,Half,B,48,1,5,15,6,2,1,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
96,BS615-56,11063,Half,B,48,2,6,19,4,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
97,BS615-57,11064,Half,B,49,1,5,25,0,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
98,BS615-57,11064,Half,B,49,2,6,23,1,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
99,BS616-58,11065,Full,B,50,1,8,20,0,0,1,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
100,BS616-58,11065,Full,B,50,2,3,27,0,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
101,BS616-59,11066,Half,B,51,1,2,25,1,0,0,2,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
102,BS616-59,11066,Half,B,51,2,7,22,1,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
103,BS616-60,11067,Half,B,52,1,3,25,2,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
104,BS616-60,11067,Half,B,52,2,4,24,2,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
105,BS616-61,11068,Half,B,53,1,1,23,4,0,1,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
106,BS616-61,11068,Half,B,53,2,2,22,5,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
107,BS616-62,11069,Full,B,54,1,4,24,3,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
108,BS616-62,11069,Full,B,54,2,2,25,3,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
109,BS616-63,11070,Half,B,55,1,11,16,3,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
110,BS616-63,11070,Half,B,55,2,11,14,2,1,0,2,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
111,BS616-64,11071,Full,B,56,1,7,19,1,1,1,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
112,BS616-64,11071,Full,B,56,2,11,17,1,1,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
113,BS616-66,11073,Full,B,57,1,2,24,2,1,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
114,BS616-66,11073,Full,B,57,2,3,27,0,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
115,BS616-67,11074,Half,B,58,1,10,19,1,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
116,BS616-67,11074,Half,B,58,2,8,22,0,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
117,BS616-68,11075,Full,B,59,1,5,24,1,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
118,BS616-68,11075,Full,B,59,2,2,24,2,1,1,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
119,BS616-69,11076,Full,B,60,1,11,18,1,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
120,BS616-69,11076,Full,B,60,2,5,25,0,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
121,BS616-70,11077,Half,B,61,1,0,24,4,0,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
122,BS616-70,11077,Half,B,61,2,2,25,3,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
123,BS616-71,11078,Full,B,62,1,4,26,0,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
124,BS616-71,11078,Full,B,62,2,3,24,1,0,0,2,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
125,BS616-72,11079,Half,B,63,1,8,20,1,0,1,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
126,BS616-72,11079,Half,B,63,2,4,24,2,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
127,BS616-73,11080,Half,B,64,1,4,24,2,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
128,BS616-73,11080,Half,B,64,2,5,21,4,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
129,BS616-74,11081,Full,B,65,1,4,22,4,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
130,BS616-74,11081,Full,B,65,2,4,25,1,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
131,BS616-75,11082,Full,B,66,1,4,17,8,0,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
132,BS616-75,11082,Full,B,66,2,3,18,8,0,0,1,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
133,BS616-78,11085,Half,B,67,1,5,23,1,0,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
134,BS616-78,11085,Half,B,67,2,9,20,1,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
135,BS616-79,11086,Full,B,68,1,7,21,2,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
136,BS616-79,11086,Full,B,68,2,5,19,6,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
137,BS710-2,11088,Full,B,69,1,12,17,0,0,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
138,BS710-2,11088,Full,B,69,2,10,19,1,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
139,BS710-7,11093,Full,B,70,1,15,15,0,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
140,BS710-7,11093,Full,B,70,2,10,20,0,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
141,BS710-8,11094,Full,B,71,1,8,21,1,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
142,BS710-8,11094,Full,B,71,2,12,19,0,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
143,BS710-9,11095,Full,B,72,1,10,15,4,1,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
144,BS710-9,11095,Full,B,72,2,13,16,0,1,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
145,BS710-12,11098,Half,B,73,1,12,18,0,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
146,BS710-12,11098,Half,B,73,2,11,18,1,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
147,Check 1-Flavia,11100,Full,C,74,1,7,22,0,0,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
148,Check 1-Flavia,11100,Full,C,74,2,4,24,2,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
149,BS710-21,11112,Full,B,75,1,4,22,3,0,1,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
150,BS710-21,11112,Full,B,75,2,6,17,6,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
151,BS710-23,11114,Full,B,76,1,1,25,4,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
152,BS710-23,11114,Full,B,76,2,1,21,9,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
153,BS710-27,11118,Full,B,77,1,4,16,10,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
154,BS710-27,11118,Full,B,77,2,4,10,16,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
155,BS710-29,11120,Half,B,78,1,5,17,8,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
156,BS710-29,11120,Half,B,78,2,8,17,5,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
157,BS710-30,11121,Full,B,79,1,11,19,0,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
158,BS710-30,11121,Full,B,79,2,9,20,1,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
159,BS710-31,11122,Half,B,80,1,9,18,1,1,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
160,BS710-31,11122,Half,B,80,2,16,11,0,3,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
161,BS710-32,11123,Half,B,81,1,7,17,3,1,0,2,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
162,BS710-32,11123,Half,B,81,2,9,16,4,0,0,1,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
163,BS710-33,11124,Full,B,82,1,3,26,1,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
164,BS710-33,11124,Full,B,82,2,8,22,0,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
165,BS710-35,11126,Half,B,83,1,12,18,0,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
166,BS710-35,11126,Half,B,83,2,12,18,0,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
167,BS710-36,11127,Half,B,84,1,14,16,0,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
168,BS710-36,11127,Half,B,84,2,11,18,0,0,0,1,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
169,BS710-39,11130,Half,B,85,1,7,23,0,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
170,BS710-39,11130,Half,B,85,2,10,20,0,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
171,BS710-41,11132,Full,B,86,1,2,17,8,2,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
172,BS710-41,11132,Full,B,86,2,1,13,14,1,0,1,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
173,BS710-42,11133,Half,B,87,1,14,15,0,0,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
174,BS710-42,11133,Half,B,87,2,12,18,0,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
175,BS710-44,11135,Half,B,88,1,14,15,1,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
176,BS710-44,11135,Half,B,88,2,5,18,7,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
177,BS710-45,11136,Half,B,89,1,8,20,2,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
178,BS710-45,11136,Half,B,89,2,8,21,1,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
179,BS710-46,11137,Full,B,90,1,15,14,1,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
180,BS710-46,11137,Full,B,90,2,12,15,3,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
181,BS710-47,11138,Half,B,91,1,3,26,1,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
182,BS710-47,11138,Half,B,91,2,4,24,2,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
183,BS710-48,11139,Full,B,92,1,2,19,7,1,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
184,BS710-48,11139,Full,B,92,2,3,17,9,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
185,BS710-49,11140,Half,B,93,1,13,17,0,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
186,BS710-49,11140,Half,B,93,2,11,18,0,1,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
187,BS710-50,11141,Full,B,94,1,15,13,1,1,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
188,BS710-50,11141,Full,B,94,2,16,13,1,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
189,BS710-51,11142,Half,B,95,1,5,19,5,1,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
190,BS710-51,11142,Half,B,95,2,10,11,9,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
191,BS710-53,11144,Half,B,96,1,18,11,1,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
192,BS710-53,11144,Half,B,96,2,16,14,0,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
